3206	area	Edendale	Edendale
320.	area	Gore	Gore
321	area	Invercargill	Invercargill
322.	area	Invercargill	Invercargill
3225	area	Otautau	Otautau
3226	area	Otautau	Otautau
323.	area	Invercargill	Invercargill
3234	area	Riverton	Riverton
323620	area	Winton	Winton
324621	area	Tokanui	Tokanui
32362.	area	Invercargill	Invercargill
3236.	area	Invercargill	Invercargill
3248	area	Lumsden	Lumsden
3249	area	Te Anau	Te Anau
330.	area	Ashburton	Ashburton
3304	area	Akaroa	Akaroa
3305	area	Waitangi	Waitangi
331.	area	Rangiora	Rangiora
3314	area	Amberley	Amberley
3315	area	Culverden	Culverden
3317	area	Darfield	Darfield
3318	area	Darfield	Darfield
3319	area	Cheviot	Cheviot
33.	area	Christchurch	Christchurch
341.	area	Balclutha	Balclutha
3417	area	Milton	Milton
3430	area	Mount Cook	Mount Cook
3435	area	Twizel	Twizel
3436	area	Kurow	Kurow
343.	area	Oamaru	Oamaru
3438	area	Kurow	Kurow
344.	area	Alexandra	Alexandra
3441	area	Queenstown	Queenstown
3442	area	Queenstown	Queenstown
3443	area	Wanaka	Wanaka
3444	area	Ranfurly	Ranfurly
3445	area	Cromwell	Cromwell
3446	area	Roxburgh	Roxburgh
345	area	Dunedin	Dunedin
346.	area	Dunedin	Dunedin
3465	area	Palmerston	Palmerston
347	area	Dunedin	Dunedin
348.	area	Dunedin	Dunedin
3485	area	Lawrence	Lawrence
3520	area	Blenheim	Blenheim
3521	area	Nelson	Nelson
3522	area	Nelson	Nelson
3523	area	Murchison	Murchison
3524	area	Takaka	Takaka
3525	area	Takaka	Takaka
3526	area	Motueka	Motueka
3527	area	Motueka	Motueka
3528	area	Motueka	Motueka
3529	area	Nelson	Nelson
353	area	Nelson	Nelson
354	area	Nelson	Nelson
357.	area	Blenheim	Blenheim
3571	area	Nelson	Nelson
3576	area	Nelson	Nelson
361	area	Timaru	Timaru
368.	area	Timaru	Timaru
3680	area	Fairlie	Fairlie
3685	area	Fairlie	Fairlie
3689	area	Waimate	Waimate
369	area	Geraldine	Geraldine
373	area	Greymouth	Greymouth
3750	area	Haast	Haast
3751	area	Fox Glacier	Fox Glacier
3752	area	Franz Josef	Franz Josef
375.	area	Hokitika	Hokitika
376	area	Greymouth	Greymouth
378	area	Westport	Westport
394	area	Invercargill	Invercargill
395.	area	Dunedin	Dunedin
3956	area	Timaru	Timaru
396	area	Christchurch	Christchurch
397	area	Christchurch	Christchurch
398.	area	Christchurch	Christchurch
3984	area	Blenheim	Blenheim
3989	area	Nelson	Nelson
4201	area	Paraparaumu	Paraparaumu
420.	area	Wellington	Wellington
423	area	Wellington	Wellington
429	area	Paraparaumu	Paraparaumu
43	area	Wellington	Wellington
44	area	Wellington	Wellington
45	area	Wellington	Wellington
